ISBN	LCCN	NLMCN	Classification	Source	Date Added
9780203796900	HC427.92 .W3791613 2014		HC	Library of Congress	2026-03-03T20:54:53+00:00
9780203797150	HC427.92 .L675213 2014		HC	Library of Congress	2026-03-03T20:54:55+00:00
9780486474175	QA162 .P56 2010		QA	Library of Congress	2026-03-03T20:55:00+00:00
9781461482437	RC269.5 .M478 2014		RC	Library of Congress	2026-03-03T20:55:06+00:00
9781461494089	QK653 .F584 2014		QK	Library of Congress	2026-03-03T20:55:07+00:00
9782707323279	N67 .D49 2013		N	Library of Congress	2026-03-03T20:55:14+00:00
9780000033963	DP802.A74 F66 2002		DP	Harvard LibraryCloud	2026-03-03T20:57:06+00:00
9780000107688	DS95.6.L4 S58 2009		DS	Harvard LibraryCloud	2026-03-03T20:57:10+00:00
9780000188588	DS485.K476 V388 2011		DS	Library of Congress	2026-03-03T20:57:37+00:00
9780000190246	PK409.P385 A3 2011		PK	Library of Congress	2026-03-03T20:57:40+00:00
9780000191816	HN690.A96 K37 2012		HN	Library of Congress	2026-03-03T20:57:42+00:00
9780000192363	HX393.8.U56 V55 2012		HX	Library of Congress	2026-03-03T20:57:44+00:00
9780000622358	DS796.M257 D53 2005		DS	Harvard LibraryCloud	2026-03-03T20:57:55+00:00
9780000901033	R745	W 18	R	Harvard LibraryCloud	2026-03-03T20:57:58+00:00
9780000901040	R745	W 18	R	Harvard LibraryCloud	2026-03-03T20:57:59+00:00
9780001011397	PZ7.A68675 Wh 1981		PZ	Library of Congress	2026-03-03T20:58:19+00:00
9780001011403	R520.F39 M43 2007		R	Harvard LibraryCloud	2026-03-03T20:58:21+00:00
9780001011427	R520.G56 G56 2008		R	Harvard LibraryCloud	2026-03-03T20:58:22+00:00
9780001015173	R520.G447 A3 2008		R	Library of Congress	2026-03-03T20:58:30+00:00
9780001064850	DS478.3 .A114 2008		DS	Library of Congress	2026-03-03T20:58:48+00:00
9780002000918	PN56.5.H45 M49 2007		PN	Harvard LibraryCloud	2026-03-03T20:58:55+00:00
9780002001007	G465 G43 2005 AEU		G	Harvard LibraryCloud	2026-03-03T20:58:56+00:00
9780002006699	BF311 .I52 2005		BF	Harvard LibraryCloud	2026-03-03T20:59:29+00:00
9780002006712	G246.F68 M34 2005		G	Library of Congress	2026-03-03T20:59:30+00:00
9780002007344	UA600 .B468 2008		UA	Harvard LibraryCloud	2026-03-03T20:59:46+00:00
9780002007351	D810.S7 V25 2008		D	Harvard LibraryCloud	2026-03-03T20:59:47+00:00
9780002007634	GV847.8.N3 L466 2007		GV	Harvard LibraryCloud	2026-03-03T20:59:51+00:00
9780002007764	G635.K2 M33 2008		G	Library of Congress	2026-03-03T20:59:54+00:00
9780002007948	QH442 .V36 2005		QH	Harvard LibraryCloud	2026-03-03T21:00:02+00:00
9780002008167	HB74.P65 H43 2009		HB	Harvard LibraryCloud	2026-03-03T21:00:06+00:00
